name,validity_flag,Comment,A,B,C,PA,RA_centroid,Dec_centroid,Class,ra_wise,dec_wise,ra_des,dec_des,MAG_AUTO,RA_desi,DEC_desi,photo_z,L__888_,ABS_MAG,flux,Class_num,id,RAJ2000,DEJ2000,zphot,e_zphot,fclean,fqual,Separation,AllWISE,RAJ2000_x,DEJ2000_x,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID_x,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist,RAFdeg,DEFdeg,DES,CoadID,Aimg,a_Aimg,Bimg,e_Bimg,PA_x,e_PA,KRad,S_Gg,S_Gr,S_Gi,S_Gz,S_GY,gmag,rmag,imag,zmag,Ymag,e_gmag,e_rmag,e_imag,e_zmag,e_Ymag,gFlag,rFlag,iFlag,zFlag,YFlag,angDist_x,Ratio
J201934.3-591123,4.0,frx distorted diffuse lobes,63.6,114.0459,72.7534,18.387321,304.8850229,-59.19813013,FR2,304.8930207,-59.1896543,304.892859,-59.189791,18.632400512695312,304.8945132,-59.1870652,0.0,0.0,0.0,0.055276033,2.0,8000047134003821,304.892853793396,-59.189791591751,1.1959999799728394,1.5440000295639038,1,0,0.5822370105745736,J201934.32-591122.7,304.8930207,-59.1896543,0.1289999932050705,0.1168000027537345,149.3000030517578,15.833000183105469,15.501999855041504,12.534000396728516,8.717000007629395,,,,0.0469999983906745,0.0989999994635582,,,,,,3052059101351035183,0000,0,0nnn,AAUU,113.0,416.0,-369.0,442.0,,9.7e-05,304.892824456,-59.189751926,J201934.27-591123.1,168873397,2.6070001125335693,0.006000000052154,2.497999906539917,0.006000000052154,19.08334,-63.50514,3.5,0.977999985218048,0.984000027179718,0.9819999933242798,0.8410000205039978,0.6069999933242798,19.48699951171875,18.647199630737305,18.329200744628903,18.16080093383789,18.102100372314453,0.002793,0.001897,0.002507,0.003284,0.012102,0,0,0,0,0,0.504441,1.2909699460019786
J202011.2-550242,1.0,djs,0.0,44.29067672,18.66610435,55.3933094,305.0476476,-55.04488505,SINGLE,305.0465744,-55.0449363,305.046408,-55.04499,18.896299362182617,0.0,0.0,0.0,0.0,0.0,0.003697702,0.5,8000060513000139,305.046419149206,-55.044958268297,0.210999995470047,0.3700000047683716,0,0,0.3298359360129274,J202011.17-550241.7,305.0465744,-55.0449363,0.0926000028848648,0.0870999991893768,137.10000610351562,15.109000205993652,15.234999656677246,12.458000183105469,8.859999656677246,,,,0.0350000001490116,0.0939999967813491,,,,,,3038054601351000270,hHH0,0,1nnn,AAUU,203.0,263.0,-297.0,267.0,,9.5e-05,305.04638937,-55.044957113,J202011.13-550241.8,165783377,6.288000106811523,0.0299999993294477,4.492000102996826,0.0209999997168779,-74.54008,8.65543,3.5,0.0230000000447034,0.0289999991655349,0.0289999991655349,0.0289999991655349,0.0260000005364418,20.48450088500977,18.976999282836918,18.47559928894043,18.127199172973636,18.01020050048828,0.015536,0.009492,0.005858,0.00645,0.029203,0,0,0,0,0,0.388921,1.7535545626155988
J202031.8-485653,1.0,frx,21.54065923,45.61019656,25.81030689,70.75392541,305.1344157,-48.94779703,FRx,305.1323024,-48.9479409,305.132652,-48.948167,19.095600128173828,0.0,0.0,0.0,0.0,0.0,0.009573164,1.5,8000081907003544,305.132725797871,-48.948326211669,1.5959999561309814,1.2829999923706057,1,0,1.710603158225739,J202031.75-485652.5,305.1323024,-48.9479409,0.0891999974846839,0.0822999998927116,175.89999389648438,14.848999977111816,14.678000450134276,12.05799961090088,8.420999526977539,,,,0.0359999984502792,0.0570000000298023,,,,,,3059048501351010935,0000,0,00nn,AAUU,234.0,197.0,-468.0,228.0,,5.1e-05,305.132646487,-48.948147959,J202031.83-485653.3,163929959,4.427999973297119,0.0309999994933605,3.9700000286102295,0.025000000372529,52.52944,-43.6194,3.5,0.0299999993294477,0.0289999991655349,0.0289999991655349,0.0289999991655349,0.0289999991655349,20.532100677490234,19.12619972229004,18.60700035095215,18.327999114990234,18.42350006103516,0.017917,0.007359,0.012454,0.011478,0.066987,3,3,3,3,3,1.103381,0.8038847290953883
J202051.1-552752,4.0,good example of Hymors - photo,114.0,174.5174,33.248,25.906507,305.2155225,-55.46270656,FR2,305.2128357,-55.4643776,305.212874,-55.464286,19.151599884033203,305.2132748,-55.46581534,0.0,0.0,0.0,0.001219724,2.0,8000058861003607,305.212874013709,-55.46428578287,0.4429999887943268,2.2690000534057617,1,0,0.3396648643539335,J202051.08-552751.7,305.2128357,-55.4643776,0.1105000004172325,0.1028999984264373,148.6999969482422,15.534000396728516,15.217000007629396,12.805999755859377,8.83899974822998,16.54199981689453,15.90999984741211,15.855999946594238,0.0419999994337558,0.0820000022649765,,,0.1469999998807907,0.1599999964237213,,3039056101351053873,0000,0,00nn,AAUU,-42.0,341.0,35.0,360.0,0.4729999899864197,9e-05,305.21284766,-55.464252379,J202051.08-552751.3,167624871,2.4679999351501465,0.0070000002160668,2.433000087738037,0.006000000052154,-63.97591,1.26147,3.5,0.9290000200271606,0.9869999885559082,0.9900000095367432,0.975000023841858,0.9229999780654908,20.695199966430664,19.15660095214844,18.264299392700195,17.868099212646484,17.792299270629883,0.008511,0.00358,0.002331,0.002391,0.009437,0,0,0,0,0,0.451458,5.121896412641217
J202159.6-561930,1.0,fr2,106.1696755,142.228239,36.79222763,87.46491641,305.5000364,-56.32560708,FR2,305.498472,-56.3249427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023799106,2.0,8000056422001127,305.498525048082,-56.324975855935,0.828000009059906,1.0299999713897705,1,0,0.1595621143005327,J202159.63-561929.7,305.498472,-56.3249427,0.0581000000238418,0.0560999996960163,111.4000015258789,14.00100040435791,13.98900032043457,12.605999946594238,8.902000427246094,14.968999862670898,14.38700008392334,13.977999687194824,0.0270000007003545,0.0410000011324882,,,0.0560000017285347,0.0570000000298023,0.0579999983310699,3066056101351013663,0000,0,11nn,AAUU,27.0,108.0,6.0,111.0,0.1979999989271164,5.7e-05,305.498488765,-56.324933697,J202159.63-561929.7,168694116,2.8940000534057617,0.003000000026077,2.697000026702881,0.003000000026077,32.30784,-58.0824,3.5,0.8700000047683716,0.9860000014305116,0.9890000224113464,0.9629999995231628,0.7839999794960022,18.57099914550781,17.15730094909668,16.49449920654297,16.181100845336914,16.105600357055664,0.002031,0.000825,0.000704,0.000639,0.002088,0,0,0,0,0,0.046588,1.2439613044922682
J202224.4-603353,1.0,fr2,68.81860214,92.30052322,26.06653675,54.81534095,305.6083691,-60.5612395,FR2,305.6017075,-60.5647395,305.601781,-60.564765,16.524499893188477,0.0,0.0,0.0,0.0,0.0,0.014782309,2.0,8000043494001530,305.601770030425,-60.564762028125,0.6290000081062317,0.6809999942779541,1,0,0.1371711021502162,J202224.40-603353.0,305.6017075,-60.5647395,0.0502000004053115,0.048599999397993,37.400001525878906,13.423999786376951,13.461999893188477,12.678999900817873,8.60099983215332,14.413999557495115,13.666000366210938,13.522000312805176,0.025000000372529,0.0320000015199184,0.4429999887943268,,0.0299999993294477,0.0240000002086162,0.0390000008046627,3060060601351034600,0000,0,00nn,AACU,-128.0,79.0,-50.0,83.0,0.4169999957084656,0.000117,305.601723959,-60.564720113,J202224.41-603352.9,164578854,3.055000066757202,0.003000000026077,2.9579999446868896,0.0020000000949949,-35.69096,60.26876,3.5,0.9829999804496764,0.9860000014305116,0.9990000128746032,0.9819999933242798,0.7160000205039978,17.920299530029297,16.515600204467773,15.8774995803833,15.584199905395508,15.51010036468506,0.001708,0.000524,0.000476,0.000468,0.001467,2,2,2,2,2,0.075625,1.0826708831503546
J202243.7-525157,1.0,frx,18.43908891,37.31168249,21.61460127,132.0892207,305.6821006,-52.86523908,FRx,305.6822358,-52.8658672,305.682408,-52.865925,19.776199340820312,0.0,0.0,0.0,0.0,0.0,0.006033087,1.5,8000068203000206,305.682408543504,-52.865923729505,-0.4839999973773956,1.5130000114440918,1,0,0.4270269749697746,J202243.73-525157.1,305.6822358,-52.8658672,0.1067999973893165,0.0854000002145767,147.1999969482422,15.222999572753906,14.973999977111816,11.98900032043457,8.99899959564209,16.320999145507812,15.782999992370604,15.345000267028809,0.0390000008046627,0.0649999976158142,,,0.1369999945163726,0.1679999977350235,0.1909999996423721,3057053101351032017,0000,0,nnnn,AAUU,-301.0,232.0,572.0,240.0,0.1270000040531158,8.1e-05,305.682362246,-52.865879593,J202243.76-525157.1,165878900,2.4059998989105225,0.0099999997764825,2.299000024795532,0.0080000003799796,88.61723,3.02705,3.5,0.9169999957084656,0.9760000109672546,0.9829999804496764,0.9829999804496764,0.3650000095367431,21.30229949951172,19.787599563598636,18.359600067138672,17.719900131225586,17.596399307250977,0.018562,0.00777,0.003414,0.003458,0.00727,0,0,0,0,0,0.278397,-3.1260330984347933
J202331.2-493657,1.0,frx,26.07680962,43.80262206,21.20177232,32.1444967,305.8809288,-49.61696558,FR2,305.8800746,-49.6157039,305.879917,-49.615486,19.503400802612305,305.8759825,-49.61602727,0.0,0.0,0.0,0.003654908,2.0,8000080018000269,305.879925593099,-49.615476267483,0.2649999856948852,1.368000030517578,1,0,0.8901337760223706,J202331.21-493656.5,305.8800746,-49.6157039,0.2204000055789947,0.202000007033348,152.0,16.54599952697754,16.750999450683594,12.720000267028809,8.847999572753906,,,,0.0700000002980232,0.2989999949932098,,,,,,3065050001351043864,0000,0,1nnn,ABUU,-174.0,811.0,-178.0,849.0,,8.4e-05,305.879910126,-49.615424485,J202331.17-493655.5,170457640,2.428999900817871,0.0099999997764825,2.4019999504089355,0.0089999996125698,-50.00269,71.6279,3.5,0.9769999980926514,0.977999985218048,0.9810000061988832,0.9660000205039978,0.8830000162124634,20.71969985961914,19.49799919128418,19.04389953613281,18.82900047302246,18.80290031433105,0.008941,0.003858,0.004879,0.008835,0.025191,0,0,0,0,0,1.076567,5.162264544771188
J202338.6-482652,4.0,djs,0.0,60.533,43.7161,45.61606,305.9121381,-48.44655875,SINGLE,305.9107953,-48.4477433,305.910961,-48.447918,17.127300262451172,0.0,0.0,0.0,0.0,0.0,0.49406372,0.5,8000083818003932,305.910962530273,-48.447918374967,0.3339999914169311,0.4309999942779541,1,0,0.7461246959164414,J202338.59-482651.8,305.9107953,-48.4477433,0.0533000007271766,0.0520999990403652,129.8000030517578,13.958000183105469,13.44499969482422,11.557000160217283,8.656999588012695,16.719999313354492,15.871999740600586,15.168999671936035,0.0270000007003545,0.0309999994933605,0.2349999994039535,,0.2049999982118606,0.2639999985694885,0.181999996304512,3059048501351032363,0000,1,00nn,AABU,-193.0,105.0,0.0,118.0,0.2119999974966049,7.5e-05,305.910933164,-48.447878199,J202338.62-482652.3,167964782,12.45300006866455,0.0359999984502792,9.354000091552734,0.0240000002086162,-13.70148,72.57866,3.5,0.0289999991655349,0.0289999991655349,0.0289999991655349,0.0289999991655349,0.0270000007003545,18.212400436401367,17.163700103759766,16.947799682617188,16.43779945373535,16.31529998779297,0.005862,0.002475,0.005082,0.005704,0.017504,3,3,3,3,3,0.586701,1.290419177705721
J202351.8-524210,4.0,fr2,37.3,61.9531,19.4609,90.0,305.9656202,-52.70147844,FR2,305.9656642,-52.7027279,305.965893,-52.702681,19.95210075378418,305.9617851,-52.7031631,0.0,0.0,0.0,0.000894465,2.0,8000068204002902,305.965891167053,-52.702682698146,1.1890000104904177,1.4950000047683716,1,0,0.5211669853128669,J202351.75-524209.8,305.9656641,-52.7027279,0.2678000032901764,0.2406000047922134,153.10000610351562,16.836999893188477,16.541000366210938,12.713000297546388,9.154999732971191,,,,0.0860000029206276,0.2269999980926513,,,,,,3057053101351046018,0000,0,nnnn,ABUU,-1280.0,1022.0,475.0,1095.0,,0.000123,305.965870585,-52.702650214,J202351.80-524209.5,165867695,2.275000095367432,0.0109999999403953,2.2309999465942383,0.0109999999403953,-21.49528,78.06979,3.5,0.875,0.977999985218048,0.9729999899864196,0.9509999752044678,0.9729999899864196,21.30909919738769,19.94099998474121,19.25539970397949,18.951099395751957,18.945499420166016,0.015875,0.006258,0.005423,0.006269,0.034875,0,0,0,0,0,0.530007,1.2573591182322534
