This sheet brings together all the data and decides on the classification,,,,,,Min_class=,20,arcsec,Guard-band,5,arcsec,,,,,,,,,
name,validity flag,Comment,A,B,C,PA,RA centroid,Dec centroid,Class,ra_wise,dec_wise,ra_des,dec_des,MAG_AUTO,RA_desi,DEC_desi,photo_z,L_{888},ABS_MAG,flux
J204941.7-543243,4,djs,0,66.4791,28.4903,116.003345,312.4247221,-54.54716777,SINGLE,312.4236273,-54.5452225,312.424023,-54.545125,19.1707,312.424017,-54.54512532,0.34681436,0,0,0.000686651
J204943.6-554616,1,djs,0,39.4460805,26.17155879,162.0884779,312.4312621,-55.77109097,SINGLE,312.4317211,-55.7710614,312.431728,-55.771083,19.0567,0,0,0,0,0,0.011498909
J204945.5-612136,4,djs,0,52.6916,30.071,349.61115,312.4370904,-61.36060183,SINGLE,312.4394969,-61.360044,312.439502,-61.360042,19.2057,312.4395004,-61.36004588,0.39064375,0,0,0.000096
J204946.3-530520,3,frx,20.1,38.78063819,22.78622917,74.89671743,312.4450104,-53.088835,FRx,312.4430038,-53.0888199,312.442999,-53.08884,23.954,0,0,0,0,0,0.003927628
J204956.0-605953,1,frx,26.07680962,48.70893112,24.59332998,62.21627014,312.4848718,-60.99841455,FRx,312.4832962,-60.9980466,312.483868,-60.998205,23.3142,0,0,0,0,0,0.008275632
J204957.2-571632,4,frx,37.9,64.6128,28.4312,0.59065723,312.4885984,-57.27559908,FR2,312.4883872,-57.2754648,312.488678,-57.275398,18.4024,312.4886861,-57.27539988,0.3391383,0,0,0.002316891
J205000.7-482232,1,fr2,69.3108938,96.70137276,24.02284622,133.0653465,312.5076563,-48.37793426,FR2,312.5030469,-48.3755745,312.503013,-48.375616,19.8573,0,0,0,0,0,0.010039931
J205003.9-623213,1,djs,0,31.08915108,18.28820296,20.66024409,312.5166673,-62.53645848,SINGLE,312.5161218,-62.536829,312.515556,-62.537207,21.846,312.5155443,-62.5372099,0.7371782,0,0,0.002376847
J205004.3-503933,4,djs,0,49.9163,27.8604,114.227745,312.5167444,-50.65943403,SINGLE,312.5177419,-50.6591138,312.517226,-50.659345,23.9172,312.5195524,-50.65990171,0,0,0,0.063262866
J205005.1-513506,4,frx,26.5,52.5528,19.7522,120.211323,312.5186054,-51.58411382,FRx,312.5211781,-51.5848647,312.521232,-51.584898,19.6028,312.5212313,-51.58490696,0.45976135,0,0,0.001241862
J205010.3-583955,1,frx,22.8035085,64.82970195,27.36145399,126.1431626,312.542673,-58.66508907,FR1,312.5428501,-58.6653569,312.542704,-58.665421,21.9228,312.5426972,-58.66542912,0.7658682,0,0,0.020857698
J205012.7-580932,4,frx,47.2,70.0651,27.9088,18.939005,312.5543636,-58.1593038,FR2,312.5530785,-58.1589817,312.553112,-58.158976,20.6336,0,0,0,0,0,0.001266331
J205013.6-522208,0,isolated,0,0,0,0,0,0,NA,312.5566912,-52.368953,312.556724,-52.368974,24.7281,0,0,0,0,0,0.036925078
J205012.7-624121,4,bt,0,88.3942,38.17,87.99045,312.5577254,-62.69145403,SINGLE,312.5528275,-62.6892293,312.552779,-62.689231,19.5548,312.5527765,-62.68923687,0.46995568,0,0,0.009276737
J205015.9-523725,3,fr,15,47.94040723,32.33596673,163.1065024,312.5658734,-52.6235223,FR1,312.5661565,-52.623695,312.565955,-52.623537,22.0077,312.5659617,-52.62353864,0.7080411,6.69E+25,-21.23221507,0.024653484
J205018.4-523349,1,djs,0,34.21682047,16.22986009,126.4860139,312.5766594,-52.5642328,SINGLE,312.5768334,-52.5635379,312.577277,-52.56319,20.28,312.575822,-52.56387609,0,0,0,0.002345918
J205022.4-541950,3,frx,19.1,55.55652607,27.8254052,31.53862117,312.5946676,-54.33024904,FR1,312.5933764,-54.3305042,312.593375,-54.330542,17.4622,312.5933706,-54.3305534,0.2570294,0,0,0.018268393
J205025.0-524915,4,djs,0,53.7321,25.8684,85.19034,312.6040006,-52.82037999,SINGLE,312.6041568,-52.8207078,312.603778,-52.820508,19.4097,312.6037773,-52.82050933,0.38365325,0,0,0.006066208
J205023.7-605835,4,fr2,81.6,124.8,56.6501,307.96213,312.6018749,-60.97512378,FR2,312.5987497,-60.976339,312.598702,-60.97637,17.7055,312.5986905,-60.97638018,0.33429495,2.51E+25,-23.59026968,0.061038514
J205027.0-515356,1,fr2,25.29822128,53.93837904,37.27995556,13.96187834,312.611915,-51.89960293,FRx,312.6125183,-51.898933,312.61267,-51.89894,23.9484,0,0,0,0,0,0.032181233
J205029.7-495415,4,x-shaped,75.6,129.4008,54.8522,322.03793,312.6244858,-49.9030621,FR2,312.623846,-49.904207,312.624125,-49.904718,20.5095,0,0,0,0,0,0.003609387
J205028.6-615653,1,fr,29.73213749,62.2690505,36.57645586,172.2186901,312.6175363,-61.94704639,FRx,312.6190204,-61.9481243,312.618891,-61.948145,22.3983,312.6189099,-61.94816433,0.92440826,1.56E+26,-21.55132339,0.027779936
J205029.0-522300,1,djs,0,50.7676077,27.58093878,113.8978268,312.6199226,-52.38342533,SINGLE,312.6208391,-52.383408,312.620809,-52.383366,23.101,312.6208362,-52.38334836,1.0266767,0,0,0.029992971
J205034.5-541921,4,fr diffuse double - remnant?,29.2,67.9107,55.0885,74.55023,312.6450016,-54.32256009,FR1,312.6437016,-54.322593,312.643815,-54.322328,20.3706,312.6437929,-54.32233291,0.478498,3.44E+24,-21.84200612,0.013880102
J205043.4-502104,4,fr2,99.6,135.9098,31.1725,343.81616,312.6837004,-50.35282157,FR2,312.6808212,-50.3511675,312.68049,-50.351255,23.801,0,0,0,0,0,0.006196602
J205048.7-563216,1,fr,26.83281573,51.8657053,25.97000707,24.12004555,312.7023217,-56.53849581,FRx,312.7027762,-56.537775,312.702894,-56.537874,21.266,312.7028876,-56.53787477,0.75106955,0,0,0.015441948
J205049.5-594523,0,complex,0,0,0,0,0,0,NA,312.7063488,-59.7562894,312.706325,-59.756435,16.8856,0,0,0,0,0,0.011180996
J205050.3-594858,4,fr2 ,107.4,134.4936,37.2759,36.700382,312.729173,-59.8052112,FR2,312.7095102,-59.8160036,312.709513,-59.81602,17.2024,312.709515,-59.81602306,0.1546433,0,0,0.001304511
J205051.6-554914,1,fr,18,36.5517466,20.60241903,2.933737471,312.7150851,-55.82041465,FRx,312.7148046,-55.8205638,312.714825,-55.820354,22.8109,312.7152956,-55.82082143,0.5916428,0,0,0.004487924
J205054.9-523141,1,fr,24.41311123,47.12201446,29.97857415,36.27233412,312.7266119,-52.53030138,FRx,312.7288447,-52.5280094,312.728924,-52.528054,17.2446,312.7262768,-52.52684451,0,0,0,0.01176639
J205058.4-594735,0,N lobe of J205050.3-594858,0,0,0,0,0,0,NA,312.7432164,-59.7930373,312.743155,-59.793075,17.3265,312.7431603,-59.79308399,0.21452624,0,0,0.005794712
J205106.7-600421,1,djs,0,39.35148331,25.16477315,90.39356367,312.7764034,-60.07276228,SINGLE,312.7777914,-60.0725495,312.777801,-60.072552,19.7054,312.7777934,-60.07255649,0.41596797,0,0,0.011186939
J205106.8-502716,4,bt,214.8,237.5469,122.9288,75.87344,312.7508427,-50.44693281,FR2,312.7781452,-50.4545159,312.778139,-50.454547,18.9801,312.7781429,-50.45454321,0.4577726,0,0,0.017255967
J205110.8-505048,1,fr,23.40939982,52.31660138,32.69739195,80.11780605,312.7948235,-50.84705518,FR1,312.7950191,-50.8468019,312.79479,-50.846871,23.1351,0,0,0,0,0,0.027154223
J205112.5-523657,1,fr,32,57.39303662,23.98544712,94.01645192,312.8047357,-52.61687975,FR2,312.801961,-52.6158265,312.801571,-52.615837,17.0468,0,0,0,0,0,0.008441373
J205116.4-534147,1,fr,22,60.08094725,51.79153829,177.3096323,312.8198353,-53.695432,FR1,312.8184043,-53.6962999,312.818714,-53.696018,22.1185,312.8186719,-53.6960333,0.82336825,1.44E+27,-21.5223178,0.363823214
J205119.6-534327,0,complex,0,0,0,0,0,0,NA,312.83158,-53.7240486,312.831515,-53.72411,15.7793,0,0,0,0,0,0.413265126
J205121.0-571036,4,fr2,76.8,96.5098,27.5144,67.380135,312.8372286,-57.17650226,FR2,312.8376271,-57.1766155,312.83784,-57.176697,21.8447,312.8378205,-57.1767012,0.8567239,6.56E+25,-21.90196021,0.023938818
J205126.2-485434,4,S-shaped,57.8,72.2591,32.8641,113.145782,312.859325,-48.90821063,FR2,312.859247,-48.9094501,312.859181,-48.909362,18.285,312.8591767,-48.90936701,0.3443344,1.5E+24,-23.08546598,0.001141038
J205126.9-515153,4,fr,29.1,50.3906,28.5066,2.2605019,312.8626516,-51.86440672,FR2,312.86204,-51.864608,312.861919,-51.864845,20.4158,0,0,0,0,0,0.000892807
J205128.5-610049,0,isolated,0,0,0,0,0,0,NA,312.8686095,-61.0137034,312.868865,-61.013639,24.2282,312.8686963,-61.01373601,0.87399215,1.59E+25,-19.57169058,0.00289812
J205131.2-592223,1,djs,0,45.92755022,31.34395468,98.84663253,312.8797547,-59.37381732,SINGLE,312.880101,-59.3729636,312.880235,-59.373084,22.9568,312.8802382,-59.37308025,0.91942954,0,0,0.073887225
J205132.7-582157,4,fr,44.1,63.5827,27.4624,63.037758,312.8880523,-58.36595234,FR2,312.8864427,-58.3657617,312.886255,-58.366005,19.7683,312.8862565,-58.36600798,0.42272943,1.92E+24,-22.12471985,0.00149897
J205134.8-585635,4,bt,26.1,41.7732,39.8641,67.2094,312.8887591,-58.94118775,FR2,312.8949311,-58.9431638,312.894947,-58.943148,22.0319,0,0,0,0,0,0.004050509
J205133.3-491551,4,fr2,25.3,51.7261,26.1329,3.293965,312.8895496,-49.26475973,FRx,312.8889005,-49.2642945,312.888855,-49.264197,20.3414,0,0,0,0,0,0.001189173
J205135.6-575235,4,fr2,144.6,171.4966,37.1907,332.52557,312.905948,-57.87997958,FR2,312.898484,-57.8763971,312.898537,-57.876371,20.7824,312.8985449,-57.87637216,0.47394976,9.27E+24,-21.40547524,0.006234555
J205141.7-485658,1,fr2,26.07680962,63.4244159,42.84926284,168.1340902,312.9245157,-48.95028786,FR1,312.923905,-48.949461,312.923893,-48.949431,19.1683,312.9238992,-48.94943648,0.330072,1.03E+26,-22.09543084,0.269243332
J205141.8-580533,1,single eith fainter jet at on e end,0,29.88533122,20.16564785,117.026115,312.925995,-58.09356964,SINGLE,312.9240811,-58.0924541,312.924069,-58.092396,20.2194,312.9240676,-58.09239668,0.27290884,0,0,0.003861758
J205145.7-535255,1,fr,18.43908891,48.41479558,31.86760717,132.4306604,312.9389538,-53.8818339,FR1,312.9402569,-53.8818872,312.940035,-53.881775,22.3733,312.9399542,-53.88174341,0.7723812,1.81E+26,-21.0974159,0.054293616
J205145.8-532323,1,fr2,31.30495168,60.01909353,26.7113691,116.5055163,312.9420699,-53.38958793,FRx,312.9410242,-53.3898097,312.941044,-53.38977,19.6772,312.9410435,-53.38977348,0.5178759,1.31E+25,-22.74080285,0.009797174
J205153.9-622521,0,single,0,0,0,0,0,0,NA,312.9745826,-62.4225306,312.974959,-62.422478,23.3507,0,0,0,0,0,0.002959516
J205156.9-524511,4,fr2,250.8,404.3111,139.5941,339.88742,313.000742,-52.76577872,FR2,312.9869643,-52.752985,312.986937,-52.753012,13.7555,312.9868962,-52.75302156,0.041929387,7.32E+23,-22.6572034,0.649903031
J205200.4-504923,1,fr,18,36.95704881,23.70484812,179.0792878,313.0012076,-50.82337203,FRx,313.0014703,-50.822999,313.00154,-50.823254,21.7593,313.0011005,-50.82244559,0,0,0,0.004754684
J205201.9-620312,4,fr2,58.5,85.1705,32.9535,26.812004,313.0058009,-62.0553058,FR2,313.007853,-62.0532726,313.00777,-62.053264,21.1354,313.0077642,-62.05326953,0.6315649,1.04E+25,-21.80253914,0.003144102
J205203.8-551219,4,fr2,26.8,46.5099,18.3959,96.709837,313.0154307,-55.2054879,FR2,313.0159794,-55.2051863,313.015919,-55.205169,21.9969,313.0159045,-55.20517051,0.77735496,1.91E+25,-21.49087951,0.007211682
J205207.7-605600,4,fr2,141,164.4814,45.7373,332.27945,313.0309305,-60.93516017,FR2,313.0322883,-60.9331492,313.032313,-60.933126,23.5074,0,0,0,0,0,0.006508011
J205208.9-620943,3,fr2,37.7,49.2279637,17.59029594,28.17354759,313.0384198,-62.16154041,FR2,313.0371982,-62.1618666,313.03723,-62.161926,19.8439,313.0372284,-62.16193301,0.47245973,3.88E+24,-22.33582521,0.002852028
J205209.6-514224,4,fr2,65.4,109.3268,55.4243,41.484447,313.0414253,-51.70402404,FR2,313.0401898,-51.7065444,313.04022,-51.706553,16.0694,313.0402158,-51.70655306,0.11985015,1.44E+24,-22.73916557,0.039681123
J205212.1-603512,1,fr,26,50.05888937,26.29081452,177.1958256,313.0507141,-60.58611617,FRx,313.0504763,-60.5865303,313.05046,-60.58651,22.5582,313.0504589,-60.58652143,0.9865706,0,0,0.014897684
J205213.0-623149,1,fr2,52.83937925,93.31505214,31.5009471,27.66017124,313.0541899,-62.53252883,FR2,313.0543701,-62.530152,313.054992,-62.53038,22.0355,313.052446,-62.53096947,0,0,0,0.011272584
J205218.3-481320,0,out of field,0,0,0,0,0,0,NA,313.0763493,-48.2223097,313.076406,-48.22261,19.6737,313.0764067,-48.22261749,0.38196918,4.01E+25,-21.95998764,0.000271598
J205216.3-574625,1,fr2,28.63564213,55.82531506,23.78066124,115.2048888,313.0695632,-57.77358127,FRx,313.0680168,-57.773611,313.067818,-57.773615,26.4762,0,0,0,0,0,0.010324692
J205217.2-564256,0,djs,0,0,0,0,0,0,NA,313.0716569,-56.7156234,313.071632,-56.715666,18.5849,313.071616,-56.71566349,0.3508673,0,0,0.009962181
J205219.5-600533,1,fr,14.14213562,38.68397321,24.18862139,5.075675591,313.0817519,-60.09243154,FR1,313.0812543,-60.0925384,313.080665,-60.09248,23.9784,0,0,0,0,0,0.010242915
J205222.6-532652,1,djs,0,40.46800883,28.12557356,94.38314774,313.0943202,-53.44779091,SINGLE,313.0942969,-53.4478127,313.094235,-53.447742,23.4772,313.0921972,-53.44993316,0,0,0,0.018511286
J205223.6-540704,3,fr2,28.6,41.05588025,11.44505057,98.17208549,313.0980366,-54.11758399,FR2,313.098537,-54.1177872,313.098556,-54.118337,22.0409,313.0985078,-54.11833912,0.9146477,1.2E+25,-21.88036885,0.001076883
J205226.6-584309,0,complex,0,0,0,0,0,0,NA,313.1107754,-58.7192405,313.110426,-58.719455,21.4482,313.1104247,-58.71945786,0.7284247,6.88E+24,-21.86694192,0.014940059
J205229.5-555528,4,fr2,80.4,116.9476,24.625,60.61099,313.1229993,-55.92462982,FR2,313.123014,-55.9243368,313.122978,-55.924371,14.262,313.1229634,-55.92438382,0.050632574,0,0,0.001675525
J205232.7-555141,4,hymors bt,26.3,88.2852,55.1328,0,313.1324016,-55.86126337,FR1,313.1362196,-55.8613955,313.13628,-55.861452,18.051,313.1362975,-55.86146623,0.26894692,7.48E+24,-22.70105458,0.029849591
J205232.1-551326,1,fr2,46.18491456,71.52261105,26.41227453,71.89710174,313.1348998,-55.22499296,FR2,313.1338556,-55.2238217,313.133929,-55.22391,21.4733,313.1339321,-55.22391257,0.9312342,5.47E+25,-22.49597906,0.00830916
J205237.7-491841,3,fr2,28.6,43.16059086,15.1688412,154.4067982,313.1569535,-49.31295772,FR2,313.1570094,-49.3113503,313.156922,-49.311271,23.7777,0,0,0,0,0,0.001943704
J205241.0-550605,4,djs,0,41.0219,22.5947,23.466076,313.1707444,-55.10246723,SINGLE,313.1710251,-55.1014127,313.170654,-55.101655,22.6902,313.1707031,-55.10168594,0.90122837,0,0,0.000755579
J205243.2-611701,1,fr2,65.60487787,104.354815,44.92953591,53.35593267,313.1809178,-61.2836613,FR2,313.1801465,-61.2837112,313.180081,-61.283746,18.7655,313.180073,-61.28375993,0.30417857,5.01E+25,-22.29311312,0.150667956
J205243.5-545330,4,fr2,57.8,91.5708,42.4292,25.016893,313.1821941,-54.88977274,FR2,313.181188,-54.8916792,313.181328,-54.891802,22.7722,313.1813292,-54.8917706,0.9412245,3E+26,-21.22559346,0.050636584
J205243.8-504230,0,single,0,0,0,0,0,0,NA,313.1823377,-50.7082383,313.182122,-50.708242,20.69,0,0,0,0,0,0.002639673
J205243.8-524107,0,single,0,0,0,0,0,0,NA,313.182668,-52.6851535,313.182664,-52.685204,14.6518,313.1826399,-52.68522084,0.042523023,0,0,0.002968061
J205244.2-565730,1,fr2,28.8444102,62.4158147,33.15214561,146.9504539,313.1863696,-56.96047962,FRx,313.1842894,-56.9582247,313.184328,-56.958127,16.7088,313.1839242,-56.95957743,0,0,0,0.04695393
J205249.7-620254,4,djs,0,64.7848,36.8711,28.349894,313.2062408,-62.04978008,SINGLE,313.2071027,-62.0484233,313.207149,-62.048391,20.5364,313.2071483,-62.0483978,0.5502898,0,0,0.017476291
J205252.3-514736,4,fr2,52.84,108.3561,50.9656,313.26007,313.2202652,-51.79340432,FRx,313.2181019,-51.7934369,313.218167,-51.793498,19.3947,313.2181625,-51.79350367,0.333633,0,0,0.31288861
J205255.4-511736,1,ddrg ,159.6997182,191.4067478,32.30660335,157.2463503,313.2290251,-51.29167053,FR2,313.2308426,-51.2933407,313.230501,-51.293442,21.2138,313.2304777,-51.29344464,0.53728503,7.6E+25,-21.30012554,0.051319229
J205253.2-620450,1,djs,0,43.59818954,28.41292139,46.71763037,313.2220558,-62.08000717,SINGLE,313.221477,-62.0804286,313.221528,-62.080499,23.0022,313.2215155,-62.08049821,0.79002696,0,0,0.035495327
J205255.8-572435,1,djs,0,36.45685335,13.88012327,88.90042883,313.2339696,-57.40968411,SINGLE,313.2323543,-57.4097777,313.232839,-57.409579,23.8632,313.2312614,-57.41047425,0,0,0,0.001759977
J205301.2-562931,1,fr2,28.42534081,51.4276186,27.09317323,42.73443473,313.2574443,-56.49034159,FR2,313.2550069,-56.4920338,313.254812,-56.492155,25.6079,0,0,0,0,0,0.018986789
J205303.2-591825,4,fr2,46,65.1628,29.2232,25.508486,313.2677982,-59.30509888,FR2,313.2634966,-59.3068657,313.26354,-59.306854,19.6731,313.2635339,-59.30685757,0.41153675,1.77E+24,-22.15109368,0.00125401
J205306.3-623646,4,bt,52.8,85.3439,41.0782,103.727097,313.2801153,-62.61046719,FR2,313.2761437,-62.6129147,313.276167,-62.612936,18.5049,313.2761575,-62.61293001,0.13232225,0,0,0.003000992
J205306.4-552440,3,bt,50.2,79.59477014,47.68898338,124.9200174,313.2751321,-55.41383875,FR2,313.2767818,-55.4110513,313.276834,-55.411189,20.6779,313.2768248,-55.41118786,0.5246523,2.05E+25,-21.77396952,0.01296051
J205308.4-612349,1,fr2,45.69463864,87.68521865,34.75171655,111.9003238,313.2834313,-61.39660156,FRx,313.2849462,-61.3968179,313.284956,-61.39683,19.1224,0,0,0,0,0,0.167674291
J205309.3-513111,1,fr,33.10589071,66.45832694,20.50511393,152.6710542,313.2870465,-51.51789677,FRx,313.288709,-51.5197119,313.288711,-51.519671,20.9454,313.2887179,-51.51967504,0.72559375,2.22E+25,-22.35941567,0.006055543
J205310.1-505211,1,fr,26.83281573,63.04746961,43.57032991,72.38274977,313.2925919,-50.8704392,FR1,313.2921578,-50.8698254,313.29223,-50.86983,19.5299,313.2922336,-50.8698342,0.3860109,5.29E+25,-22.13061659,0.094206452
J205312.3-571042,3,fr2,31.8,39.66758335,10.27854483,23.8994636,313.301451,-57.17901156,FR2,313.3013339,-57.1783532,313.301421,-57.178405,22.9997,313.3014205,-57.17840868,0.8587039,6.83E+24,-20.75311644,0.000646003
J205312.7-514342,0,isolated - line of point sources,0,0,0,0,0,0,NA,313.3031167,-51.7283503,0,0,0,0,0,0,0,0,0.320546958
J205318.5-603819,4,fr2,38.4,66.6373,33.216,21.493647,313.3251629,-60.64170641,FR2,313.3271644,-60.6387273,313.327328,-60.638687,23.016,313.3273397,-60.63868956,1.040346,9.51E+25,-21.24958502,0.015331978
J205326.1-533312,1,djs,0,43.96130089,27.87709262,122.2226202,313.3581967,-53.55368747,SINGLE,313.3587057,-53.5532719,313.358796,-53.553481,22.2593,0,0,0,0,0,0.021888939
J205330.4-484942,1,fr2,65.11528238,90.44233396,34.38834647,168.2938341,313.3774618,-48.82756913,FR2,313.3766647,-48.8283721,313.376723,-48.828373,20.0028,0,0,0,0,0,0.018232779
J205330.3-621338,1,fr2,50.47771786,80.39379649,31.02631006,144.9846114,313.3775142,-62.22673474,FR2,313.3762993,-62.2271114,0,0,0,0,0,0,0,0,0.047119056
J205331.4-492722,4,hymors,0,165.1461,47.7228,122.905243,313.3747644,-49.45333751,SINGLE,313.380721,-49.4560469,313.380994,-49.455989,19.9933,313.3810043,-49.45598835,0.49454248,0,0,0.018274974
J205333.9-574020,0,isolated,0,0,0,0,0,0,NA,313.3912124,-57.6722362,313.391105,-57.6722,18.3796,313.3935033,-57.67199716,0,0,0,0.001562303
J205335.2-555426,3,frx,16.6,32.83053929,16.93591894,68.32851125,313.3974736,-55.90742977,FRx,313.3965005,-55.9072245,313.396591,-55.907106,22.561,0,0,0,0,0,0.002891784
J205337.8-621529,4,fr2 ,97.8,148.2087,67.8423,83.32178,313.4342,-62.25491001,FR2,313.4383268,-62.2562181,313.438374,-62.256221,17.5675,313.4383592,-62.25622538,0.30577525,0,0,0.033254176
J205338.4-502726,4,fr2,64.8,99.3354,28.9236,76.21017,313.4104987,-50.45723029,FR2,313.4100992,-50.4571711,313.410294,-50.457259,23.9257,0,0,0,0,0,0.008086436
J205339.9-504102,1,fr2,64.12487817,88.75837975,29.209831,1.536177464,313.4158334,-50.68498175,FR2,313.4163086,-50.6839054,313.416311,-50.683906,20.3631,313.4163122,-50.68390647,0.6228403,2.36E+25,-22.5382049,0.009850555
J205344.1-501041,0,single,0,0,0,0,0,0,NA,313.4336092,-50.1781092,313.433634,-50.177999,26.0872,0,0,0,0,0,0.005631981
J205345.2-621522,0,duplicate of J205337.8,0,0,0,0,0,0,NA,313.4383268,-62.2562181,313.438374,-62.256221,17.5675,313.4383592,-62.25622538,0.30577525,0,0,0.10130283
J205344.8-500552,1,djs,0,42.83772353,30.3801666,20.48228537,313.4364714,-50.09811403,SINGLE,313.4365902,-50.0978868,313.436618,-50.098027,23.1436,0,0,0,0,0,0.01198178
J205351.3-575155,1,fr2,107.7032961,140.8332017,32.28438042,58.32648709,313.4642354,-57.86488779,FR2,313.4637817,-57.8652971,313.463712,-57.865577,20.4035,313.4637148,-57.86558101,0.34055105,2.41E+25,-20.93905525,0.052603535
J205350.0-585325,4,ddrg ,126,146.2544,23.811,93.0528824,313.4318062,-58.92262784,FR2,313.458287,-58.8902443,313.458359,-58.890277,20.2317,313.4583624,-58.89027563,0.33053648,4.86E+23,-21.03557318,0.001531872
J205337.6-584958,4,fr2,212.4,247.5333,64.4285,98.0766115,313.4144758,-58.83866636,FR2,313.4066974,-58.8328749,313.406765,-58.832842,18.9104,313.40676,-58.83284198,0.41032407,1.45E+25,-22.90623294,0.042607495
J205357.6-492830,4,djs,0,45.1171,19.2298,104.364582,313.4894812,-49.47491886,SINGLE,313.4901642,-49.4749592,313.490539,-49.475329,21.8065,313.4905492,-49.47533572,0.6456216,0,0,0.00321402
J205357.8-544506,1,djs,0,43.53772655,19.57878247,152.1170247,313.4918055,-54.75212872,SINGLE,313.4906474,-54.7515699,313.490878,-54.751554,17.7102,313.4908902,-54.75155348,0.17389317,0,0,0.00346524
J205359.8-502800,1,djs,0,30.46651738,14.83601915,115.2697546,313.4990472,-50.46689991,SINGLE,313.4991227,-50.4667902,313.499249,-50.466877,24.0602,313.4953553,-50.46591226,0,0,0,0.001777521
J205400.5-500157,4,djs,0,85.097,41.968,51.02753,313.5006426,-50.03087592,SINGLE,313.501875,-50.0324139,313.501925,-50.032435,19.0977,313.5019427,-50.03243199,0.32344097,3.79E+24,-22.11495261,0.009431794
J205402.0-565450,1,frx,28,65.42442574,32.8688082,91.61682323,313.5086997,-56.91412776,FR1,313.5082322,-56.913915,313.508501,-56.913934,21.8033,313.5084949,-56.91393858,0.7070141,1.43E+26,-21.43277021,0.051790314
J205416.4-494641,4,fr2,49.24,67.4529,27.4936,19.413626,313.5678181,-49.77897453,FR2,313.5681366,-49.7781292,313.568209,-49.778102,20.48,313.5682076,-49.77810189,0.5732971,0,0,0.001532187
J205419.6-495844,4,frx,56.1,87.8994,40.3504,326.94418,313.5833371,-49.98150546,FR2,313.5815847,-49.9790102,313.581603,-49.97904,19.0575,313.5816014,-49.97904503,0.30396122,1.4E+24,-21.99932432,0.001958636
J205421.2-572908,3,fr2,36.3,55.81294216,21.69493221,94.08668056,313.5919558,-57.4859097,FR2,313.5884577,-57.4855151,313.588544,-57.48562,18.1392,0,0,0,0,0,0.004439549
J205422.7-573611,4,frx,18.8,34.6721,18.2509,42.00572,313.5957818,-57.60305031,FRx,313.5947335,-57.6029586,313.594986,-57.602944,22.6827,313.5949791,-57.60293752,0.9658705,0,0,0
J205427.7-503230,0,isolated,0,0,0,0,0,0,NA,313.6154062,-50.5415926,313.615322,-50.541183,24.9289,0,0,0,0,0,0.00575816
J205432.1-521744,4,fr2,160.8,192.8064,44.3735,38.60453,313.6385847,-52.29051288,FR2,313.6336935,-52.2954681,313.633825,-52.295472,23.3599,0,0,0,0,0,0.016370291
J205431.3-601045,4,frx,27.7,63.156,40.965,80.64703,313.6288802,-60.17954725,FR1,313.6303612,-60.1792773,313.630446,-60.179264,20.7862,313.630471,-60.17927368,0.5298873,2.96E+25,-21.69155353,0.022934534
J205431.9-550839,4,fr2,35.5,55.8271,21.0523,42.978634,313.632199,-55.14395404,FR2,313.6329962,-55.1442326,313.633303,-55.144177,21.8501,313.6332951,-55.14417707,0.7887109,1.43E+25,-21.67624712,0.002129207
J205433.0-570607,1,fr1,15.62049935,35.18934162,18.62894237,36.68202977,313.6384306,-57.10203155,FRx,313.6376938,-57.1018158,0,0,0,0,0,0,0,0,0.003809826
J205436.9-490410,4,fr2,80,112.9527,35.4398,5.5562296,313.6523085,-49.06964545,FR2,313.653542,-49.0695161,313.653492,-49.069603,28.1147,0,0,0,0,0,0.008437292
J205437.0-592944,1,djs,0,41.17249428,26.47756397,158.4534662,313.6546653,-59.49711307,SINGLE,313.6540321,-59.4956856,313.654058,-59.495692,19.301,0,0,0,0,0,0.011932832
J205444.8-603416,4,double-lobed FRII,57.4,76.22,34.0185,336.4253,313.6864519,-60.57078479,FR2,313.6867976,-60.5710268,313.686521,-60.570868,19.6565,313.6865182,-60.57087287,0.43112504,8.5E+24,-22.28704728,0.010046478
J205448.1-580122,4,extended jets,100,126.5418,24.6503,59.65323,313.7052615,-58.02097451,FR2,313.7005783,-58.0226823,313.700712,-58.022572,20.2445,0,0,0,0,0,0.00437839
J205450.2-543935,4,djs,0,46.3906,28.9219,90,313.7098285,-54.6604428,SINGLE,313.7092488,-54.6596953,313.709226,-54.659631,18.7466,0,0,0,0,0,0.414964449
J205451.9-623533,4,BT,50,68.2158,40.9297,0,313.7085024,-62.58900458,FR2,313.7162752,-62.5924624,313.71632,-62.59249,19.2618,313.7163213,-62.59248983,0.30371693,0,0,0.001035091
J205452.9-530221,1,djs,0,47.25031396,27.09610419,138.1193321,313.7205381,-53.03889102,SINGLE,313.7203155,-53.0390419,313.720377,-53.038935,19.5388,313.7203774,-53.03894532,0.5074874,0,0,0.01828272
J205455.2-572345,1,djs,0,38.368995,22.04653227,169.1648629,313.73032,-57.39601673,SINGLE,313.7299364,-57.3959393,313.730123,-57.395794,21.842,313.7301123,-57.39579897,0.83384943,0,0,0.005263173
J205458.5-604816,0,blobs,0,0,0,0,0,0,NA,313.7439153,-60.8044426,313.744248,-60.804348,19.4264,313.7436731,-60.80517631,0,0,0,0.001133864
